,Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
17,Footash Bellies,1899.0,1699.0,Style Foot Bellies,894.0,514.0
18,Carrel Printed Women's,2299.0,910.0,Carrel Printed Women's,2482.0,1156.0
19,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32144.0,26423.0
20,Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,SICONS CONDITIONING CONDITONER DOG SHAMPOO,97.0,119.0
21,Alisha Solid Women's Cycling Shorts,999.0,379.0,ALISHA SOLID WOMEN'S CYCLING ShorTS,-2.0,0.0
22,Dongli Solid Boy's Round Neck T-Shirt,1399.0,749.0,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382.0,1254.0
23,Simitoes Women Clogs,999.0,445.0,SWAGGA WOMEN CLOGS,1490.0,1821.0
24,Pawzone Rubber Rubber Toy For Dog,200.0,150.0,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,185.0,209.0
25,Lovelady Wedding Lingerie Set,895.0,725.0,GLUS WEDDING LINGERIE SET,1295.0,869.0
26,Vicky Jupiter Quad Roller Skates - Size 12 - 16 UK,900.0,800.0,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3193.0,2835.0
27,Borse N16 Make Up And Jewellery Vanity Case,2100.0,680.0,BULAKY VANITY CASE JEWELLERY VANITY CASE,488.0,490.0
28,Fbling Women's Leggings,499.0,249.0,FDT WOMEN'S Leggings Pants,698.0,362.0
29,Madcaps C31GR30 Men's Cargos,2199.0,1599.0,MADCAPS C38GR30 MEN'S CARGOS,2183.0,2100.0
30,Decore Sources Assorted Artificial Plant  with Pot,1150.0,515.0,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,783.0,710.0
31,"Ambika Lahenga Embroidered Lehenga, Choli and Dupatta Set",39992.0,24995.0,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,994.0,854.0
32,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483.0,347.0
33,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,487.0,330.0
34,Sapphire Diaries 2016 Regular Diary Hard Bound,749.0,749.0,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",993.0,1019.0
35,Kaaryah Printed Women's Tunic,1670.0,1419.0,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183.0,822.0
36,Neopack 13 inch Laptop Messenger Bag,2499.0,2199.0,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,347.0,343.0
37,"Pick Pocket Women Casual Black Cotton, Canvas Sling Bag",399.0,359.0,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,886.0,1167.0
38,Esplindia Pouch Potli,400.0,325.0,ANGELFISH SILK POTALI POTLI,983.0,482.0
39,Naughty Ninos Girl's Pink Dungaree,1799.0,999.0,OYE BOY'S DUNGAREE,893.0,985.0
40,Seastar Stadil Canvas Shoes,899.0,899.0,NURIDE CANVAS SHOES,1990.0,1625.0
41,Shoppingtara Kundan Meenakari Marble Mobile Stand With Clock Showpiece  -  8 cm,980.0,449.0,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1480.0,1786.0
42,Speedwav 240459 Sun Shade For Maruti Omni,1400.0,358.0,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6990.0,2313.0
43,Rapter BNC-047 BNC Wire Connector,1299.0,899.0,RAPTER BNC-179 BNC WIRE CONNECTOR,2279.0,1582.0
44,Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987.0,562.0
45,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,892.0,556.0
46,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089.0,1161.0
47,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6482.0,6153.0
48,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9972.0,6022.0
49,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396.0,686.0
50,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,887.0,544.0
51,Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,RAPTER BNC-047 BNC WIRE CONNECTOR,1288.0,1023.0
52,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8979.0,5877.0
53,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888.0,554.0
54,Rdx Pulse Gaming Speaker,9999.0,2600.0,BEHRINGER XENYX 502 ANALOG SOUND MIXER,9984.0,7854.0
55,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879.0,512.0
56,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879.0,534.0
57,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382.0,711.0
58,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382.0,694.0
59,Roadster Solid Turtle Neck Casual Men's Sweater,1399.0,839.0,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380.0,887.0
60,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,995.0,638.0
61,Embellish outfits Embroidered Women's Straight Kurta,1999.0,1699.0,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639.0,1041.0
62,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1388.0,660.0
63,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888.0,562.0
64,Libas Printed Women's Anarkali Kurta,1849.0,924.0,LIBAS PRINTED WOMEN'S A-LINE KURTA,887.0,570.0
65,Libas Printed Women's A-line Kurta,899.0,449.0,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831.0,1142.0
66,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,981.0,647.0
67,HRS ULTIMATE MEN Chest Pads,440.0,395.0,HRS ULTIMATE BOY CHEST PADS,427.0,491.0
68,Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488.0,918.0
69,HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS CLUB BOY THIGH PADS,273.0,298.0
70,Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794.0,868.0
71,C.E Collection Polyester Multicolor Floral Eyelet Door Curtain,799.0,499.0,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898.0,1145.0
72,Liza Women Wedges,1690.0,1014.0,LIZA WOMEN WEDGES,1986.0,1707.0
73,HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS ULTIMATE BOY ELBOW PADS,236.0,279.0
74,Bajya Cotton Bath Towel,1099.0,270.0,SATHIYAS COTTON BATH TOWEL,582.0,568.0
75,HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS ULTIMATE MEN CHEST PADS,435.0,474.0
76,Welhouse Cotton Hand & Face Towel Set,899.0,479.0,Eurospa Cotton Terry Face Towel Set,-15.0,0.0
77,SANTOSH ROYAL FASHION Cotton Printed Double Bedsheet,2499.0,649.0,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2695.0,1570.0
78,CASEDEAL Nokia lumia 225 Back Panel,1999.0,380.0,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989.0,472.0
79,Femella Women's Printed Casual Shirt,850.0,425.0,Mario Gotze Women's Printed Casual Orange Shirt,1486.0,1162.0
80,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2595.0,864.0
81,Craftatoz Cr-141 Coin Bank,799.0,399.0,Shilpi NHSCN003 Coin Bank,880.0,787.0
82,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2589.0,806.0
83,Babeezworld Baby Boy's Romper,999.0,499.0,Babeezworld Dungaree Baby Boy's  Combo,997.0,565.0
84,SthriElite Goddess Lakshmi Idol Showpiece  -  4.5 cm,399.0,299.0,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1590.0,1487.0
85,Stamin Mass Gainers,2300.0,1955.0,"Proence Weight Gainers, Mass Gainers",1010.0,1107.0
86,Sleek Line Men's Checkered Casual Shirt,1649.0,494.0,Discountgod Men's Checkered Casual Shirt,732.0,662.0
87,Silver Streak Men's Printed Casual Shirt,1199.0,599.0,Silver Streak Men's Printed Casual Denim Shirt,1298.0,713.0
88,"fastrack 38015PL01 Analog Watch  - For Men, Boys",2495.0,2495.0,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18981.0,16829.0
89,TEN TEN Women's Tan Mid Length Boots Boots,4495.0,1895.0,TEN TEN Women's Black Knee Length Boots Boots,4986.0,2581.0
90,Maxima 06896LMGY Gold Analog Watch  - For Men,795.0,795.0,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13682.0,16407.0
91,Carlton London Boots,2295.0,2295.0,Carlton Boots,3484.0,1379.0
92,Swag 670014 Analog Watch  - For Boys,1499.0,599.0,Maserati Time R8851116001 Analog Watch  - For Boys,24393.0,30971.0
93,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1087.0,769.0
94,"Wisdom MW0082 Analog Watch  - For Men, Boys",998.0,349.0,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1088.0,561.0
95,Reckler Slim Fit Men's Jeans,10796.0,5299.0,Reckler Slim Fit Men's Jeans,5383.0,3179.0
96,Quechua Arpenaz 100 Hiking Shoes,2499.0,1922.0,Quechua Arpenaz Novadry Boots,2481.0,2748.0
97,"Wisdom MW0082 Analog Watch  - For Men, Boys",998.0,349.0,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3990.0,983.0
98,Steppings Trendy Boots,3199.0,1919.0,Steppings Trendy Boots,1791.0,844.0
99,Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,Rochees RW38 Analog Watch  - For Boys,1414.0,1357.0
100,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084.0,468.0
101,Catwalk Boots,2095.0,999.0,Catwalk Boots,2086.0,1283.0
102,Magnum Footwear Lifestyle Boots,2999.0,1899.0,Magnum Footwear Lifestyle,3982.0,2586.0
103,"Kool Kidz DMK-007-BL 01 Analog Watch  - For Boys, Girls",575.0,460.0,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990.0,469.0
104,Rialto Boots,3295.0,2395.0,Rialto Boots,3275.0,3331.0
105,Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2481.0,1583.0
106,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",8995.0,7495.0,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5476.0,5916.0
107,La Briza Andria Boots,2099.0,2099.0,La Briza Ashley Boots,2296.0,2840.0
108,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107737.0,137323.0
109,Salt N Pepper 13-019 Femme Taupe Boots Boots,4195.0,2050.0,Salt N Pepper 13-019 Femme Black Boots Boots,4176.0,3857.0
110,Shuz Touch Boots,2995.0,2995.0,Shuz Touch Boots,1497.0,1651.0
111,Wrangler Regular Fit Men's Jeans,3295.0,1812.0,Wrangler Skanders Fit Men's Jeans,2785.0,2254.0
112,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,3191.0,2295.0
113,Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,Salt N Pepper 14-664 Denny Black Boots Boots,4283.0,3869.0
114,"SwissFire 205SM005 Analog Watch  - For Boys, Men",2195.0,1207.0,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189.0,513.0
115,Credos Boots,4499.0,3499.0,Crocs Boots,3977.0,4845.0
116,"fastrack 38015PL01 Analog Watch  - For Men, Boys",2495.0,2495.0,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571223.0,726879.0
117,TEN Stylish and Elegant Boots,2295.0,1595.0,Lyc White Casual Boots,1195.0,1025.0
118,Roxy Boots,19995.0,9997.0,Myra Comfortable Boots,1038.0,573.0
119,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2499.0,599.0,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991.0,896.0
120,Get Glamr Designer Uggy Boots,3499.0,2799.0,Get Glamr Designer Uggy Boots,3487.0,3180.0
121,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2295.0,1019.0
122,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,1996.0,1187.0
123,Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,Rochees RW50 Analog Watch  - For Boys,1110.0,1225.0
124,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2780.0,1529.0
125,Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,Salt N Pepper 13-516 Greta Red Boots,3475.0,3380.0
126,Fluid FS209-BK01 Digital Watch  - For Men,799.0,799.0,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682.0,1026.0
127,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,1587.0,825.0
128,Rialto Boots,3295.0,2795.0,Rialto Boots,3292.0,2738.0
129,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085.0,472.0
130,Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,Wrangler Regular Fit Men's Jeans,3279.0,2305.0
131,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,3492.0,2874.0
132,Disney DW100405 Digital Watch  - For Boys,1495.0,1345.0,"Disney DW100230 Digital Watch  - For Boys, Girls",342.0,386.0
133,Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0,Salt N Pepper 13-167 Marsha Red Boots,3692.0,3441.0
134,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,"Cartier W6701005 Analog Watch  - For Boys, Men",200990.0,246928.0
135,Bruno Manetti 676 Boots,2999.0,1199.0,Bruno Manetti Cannelita Boots,3394.0,1564.0
136,Stylistry Maxis Sa3228-25relong1712 Boots,2299.0,1599.0,Stylistry Maxis Shde6603brwoboot3104 Boots,2185.0,1785.0
137,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1299.0,299.0,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181.0,444.0
138,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350.0,555.0,"Felix Y 39 Analog Watch  - For Boys, Men",1536.0,602.0
139,Kielz Boots,2499.0,1999.0,Kielz Boots,2987.0,2706.0
140,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2295.0,1116.0
141,Pureits Leathers Boots,1999.0,799.0,Sakay Country Leather Boots,3980.0,3877.0
142,La Briza Andria Boots,2099.0,2099.0,La Briza Black Boots,2282.0,2385.0
143,"Kool Kidz DMK-011-BK 01 Analog Watch  - For Girls, Boys",595.0,476.0,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",362.0,324.0
144,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",1299.0,1039.0,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1180.0,1229.0
145,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,2198.0,1415.0
146,"Kool Kidz DMK-011-BK 01 Analog Watch  - For Girls, Boys",595.0,476.0,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466.0,368.0
147,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1083.0,739.0
148,"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0,Vencer Stella 7lyt1011 Digital Watch  - For Boys,381.0,178.0
149,La Briza Andria Boots,2099.0,2099.0,La Briza Mile Boots,3998.0,4701.0
150,"Kool Kidz DMK-007-BL 01 Analog Watch  - For Boys, Girls",575.0,460.0,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3979.0,1064.0
151,Sakay Country Leather Boots,3999.0,3499.0,Sneha Unique Boots,1794.0,1026.0
152,Timewel 1100-N147W_1 Analog Watch  - For Men,795.0,795.0,Timer TC_-_690143 Analog Watch  - For Boys,1287.0,707.0
153,YK Regular Fit Boy's Jeans,1199.0,839.0,NE Regular Fit Men's Jeans,4988.0,2180.0
154,Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,2989.0,3434.0
155,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2492.0,1393.0
156,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995.0,8545.0,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4991.0,1287.0
157,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2287.0,1067.0
158,Belle Gambe Boots,3499.0,1765.0,Belle Gambe Boots,3988.0,2169.0
159,"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,"Titan 1639SL03 Analog Watch  - For Boys, Men",1783.0,2169.0
160,Selfie Boots,1200.0,599.0,Selfie Boots,1191.0,773.0
161,Clincher Se1601 Casual Shoes,1699.0,1699.0,Clincher Semonday Boots,3497.0,4157.0
162,"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",1299.0,899.0,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790.0,233.0
163,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2485.0,1446.0
164,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",573.0,620.0
165,Belle Gambe Boots,3999.0,1695.0,Belle Gambe Boots,3495.0,2123.0
166,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1919.0,2269.0
167,Myra Comfortable Boots,1049.0,499.0,Roxy Boots,19979.0,12156.0
168,Lee Marc Men's Solid Formal Denim Shirt,2100.0,465.0,Lee Men's Jeans,2681.0,2089.0
169,Bruno Manetti 664 Boots,2999.0,1199.0,Bruno Manetti 676 Boots,2979.0,1482.0
170,"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,"Estilo 1056 Analog Watch  - For Boys, Men",1295.0,371.0
171,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999.0,262.0,Jack klein BlackLed Digital Watch  - For Boys,994.0,187.0
172,"PIEXIM mxre Moon Design Moving Dimonds Analog Watch - For Women & Girls Analog Watch  - For Women, Girls",1599.0,359.0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220.0,176.0
173,Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1484.0,1448.0
174,Foot Candy Women Heels,1599.0,799.0,Foot Candy Boots,2887.0,2095.0
175,Crocs Boots,3995.0,3995.0,Credos Boots,4496.0,4097.0
176,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996.0,164.0
177,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2489.0,2146.0
178,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2792.0,1535.0
179,"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",1299.0,899.0,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378.0,392.0
180,ANAND ARCHIES Slippers,499.0,499.0,Anand Archies Boots,492.0,575.0
181,Magnum Footwear Lifestyle Boots,5999.0,3199.0,Magnum Footwear Lifestyle Boots,2992.0,2185.0
182,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,2185.0,1390.0
183,Swag 670014 Analog Watch  - For Boys,1499.0,599.0,Swag 670038 Analog Watch  - For Boys,2480.0,1126.0
184,Bonzer Bellies,699.0,399.0,Bonzer Boots,987.0,582.0
185,Roadster Skinny Fit Women's Blue Jeans,1199.0,839.0,Roadster Skinny Fit Fit Men's Jeans,2495.0,1414.0
186,Selfie Boots,1200.0,599.0,Selfie Black Denim Boots,990.0,638.0
187,Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3193.0,2835.0
188,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",626.0,822.0
189,Belle Gambe Boots,3999.0,1695.0,Belle Gambe Winter Boots,3498.0,1943.0
190,Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398.0,180.0
191,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2485.0,1518.0
192,Kielz Boots,2999.0,2399.0,Kielz Boots,2496.0,2566.0
193,"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295.0,931.0
194,Carlton London Boots,1995.0,1995.0,Carlton London Boots,2279.0,2871.0
195,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,331.0,298.0
196,Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,4485.0,5839.0
197,La Briza Black Boots,2299.0,2069.0,La Briza Andria Boots,2085.0,2641.0
198,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343.0,1456.0
199,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,1883.0,1236.0
200,Carlton London Boots,2295.0,2295.0,Carlton London Boots,1988.0,2334.0
201,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784.0,1327.0
202,Shoe Day Boots,5299.0,2199.0,Urban Country Ladies Boots,3296.0,2015.0
203,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,Now SP-ETHNIC Analog Watch  - For Boys,586.0,767.0
204,"Disney 98189 Analog Watch  - For Boys, Girls",1800.0,900.0,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1344.0,1597.0
205,Get Glamr Designer Kuyal Boots,2799.0,2239.0,Get Glamr Designer Yuvu Boots,3483.0,3565.0
206,Kielz Boots,2999.0,2399.0,Kielz Boots,2481.0,3094.0
207,Belle Gambe Boots,3999.0,1695.0,Belle Gambe Boots,3985.0,1979.0
208,Remson India Boots,3999.0,1999.0,Remson India Boots,3993.0,2458.0
209,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,1592.0,734.0
210,Swag 670014 Analog Watch  - For Boys,1499.0,599.0,Jacques Farel KWD2324 Analog Watch  - For Boys,2838.0,1748.0
211,Rialto Boots,3295.0,2795.0,Rialto Boots,2786.0,2165.0
212,Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,Salt N Pepper 13-455 Pisa Black Boots,4993.0,4661.0
213,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1299.0,299.0,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988.0,354.0
214,Klaur Melbourne Canvas Shoes,1199.0,1149.0,Klaur Melbourne Boots,3480.0,1868.0
